species_name,diameter_mean,diameter_min,diameter_max,diameter_median,diameter_sd,n,range
ROBUR,21.591082677165353,4,50.5,4,6.664459225939948,508,46.5
RUBRA,29.819082840236685,3,52,3,8.721218780642037,338,49
RUBRUM,8.205037821482602,0,33.5,0,5.8044584033853255,1322,33.5
RUGOSA,16.857142857142858,0,40,0,13.827826698682307,14,40
SACCHARINUM,26.174657534246574,5,51,5,11.329402269487392,73,46
SACCHARUM,22.365384615384617,13,37,13,5.705735270739178,39,24
SALICINA,3.5421686746987953,3,9,3,1.1213146119652408,83,6
SARGENTII,12.980113636363637,2,34,2,9.102246595779892,88,32
SATIVA,31.5375,3,52,3,12.447329823574295,20,49
SEROTINA,15.2,2.5,25,2.5,9.953642549338408,5,22.5
SERRATA,6.785256410256411,2,18,2,4.359592416418769,78,16
SERRULA,9.0625,4.5,14.5,4.5,3.370830758136635,16,10
SERRULATA,15.478263195435092,0.5,48,0.5,8.076022850002621,2804,47.5
SIEBOLDII,3,3,3,3,0,3,0
SIMONII,20,20,20,20,NA,1,0
SITCHENSIS,14.964285714285714,6,20,6,5.099894956901424,7,14
SOULANGEANA  X,16.4,6,24,6,6.841052550594828,5,18
SPECIES,14.934170854271358,0,317,0,18.068891066519768,398,317
SPECIOSA,23.951612903225808,3,44,3,13.938319386203919,31,41
SPECTABILIS,9,3,12,3,5.196152422706632,3,9
SPICATUM,20.333333333333332,16,27,16,5.8594652770823155,3,11
STENOPTERA,5.625,2,14,2,5.618051263561058,4,12
STROBUS,18.375,18,18.75,18,0.5303300858899106,2,0.75
STYRACIFLUA,7.75,0,32,0,4.678741818053226,329,32
SUBHIRTELLA,21.065217391304348,5,47,5,10.861429564008278,46,42
SYLVATICA,8.171970802919708,0,52.5,0,8.474036873581491,685,52.5
SYLVESTRIS,17.931818181818183,3,35,3,7.285827577758272,77,32
SYRIACA,3.1333333333333333,3,5,3,0.43417248545530474,30,2
TATARICUM,21,21,21,21,NA,1,0
TEGMENTOSUM,3,3,3,3,0,9,0
THURINGIACA   X,6,5,7,5,1.4142135623730951,2,2
TOMENTOSA,7.4772727272727275,3,17.5,3,5.072541948390552,11,14.5
TRANSITORIA,5.666666666666667,3,9.25,3,3.2242570203588508,3,6.25
TREMULOIDES,23,18,25,18,3.366501646120693,4,7
TRIACANTHOS,8.619594594594595,2,38,2,6.788449747232605,370,36
TRICHOCARPA,38.2,28,48,28,9.169242062460778,5,20
TRILOBA,12.666666666666666,9,15,9,3.2145502536643185,3,6
TRUNCATUM,5.034455128205129,2,23,2,3.2840191375400423,312,21
TULIPIFERA,20.024117647058823,2,45,2,13.34506338210755,170,43
TYPHINA,8.454545454545455,3,24,3,5.939084716749482,11,21
VELUTINA,11.947368421052632,8,17.75,8,2.897051838805296,19,9.75
VERTICILLATA,17,17,17,17,0,2,0
VIRGINIANA,5.981118881118881,0,31,0,6.959371036103918,143,31
VULGARIS,3.25,0,6,0,2.5,4,6
WATERERI  X,9.475,0.5,26,0.5,6.24027939731241,24,25.5
X YEDOENSIS,6.3023037542662115,0,37.5,0,4.8710463941788005,586,37.5
XX,3.9766129032258064,0,16,0,2.121524718504254,310,16
YUNNANENSIS,8.6,6,13.5,6,3.6297382825763074,5,7.5
ZUMI,5.182776617954071,2,21.5,2,2.173056967473997,479,19.5
